RACA_REGIAO,média,contagem
Branca - Centro-Oeste,547.097900390625,68882.0
Branca - Nordeste,547.55419921875,213244.0
Branca - Norte,547.8638916015625,53103.0
Branca - Sudeste,547.6156005859375,369018.0
Branca - Sul,547.626708984375,207131.0
Parda - Centro-Oeste,547.6946411132812,81892.0
Parda - Nordeste,547.63623046875,438924.0
Parda - Norte,547.8388671875,168612.0
Parda - Sudeste,547.3593139648438,257518.0
Parda - Sul,547.325439453125,60553.0
Preta - Centro-Oeste,547.343017578125,22354.0
Preta - Nordeste,547.423828125,128801.0
Preta - Norte,548.1617431640625,29076.0
Preta - Sudeste,547.8125610351562,104396.0
Preta - Sul,547.75830078125,21895.0
