RACA_SEXO,média,mediana,contagem
Amarela - Feminino,547.5515747070312,539.5399780273438,20815.0
Amarela - Masculino,548.29638671875,539.739990234375,11853.0
Branca - Feminino,547.5648193359375,539.9400024414062,544586.0
Branca - Masculino,547.6002807617188,539.9000244140625,366792.0
Indígena - Feminino,547.8572387695312,538.739990234375,9479.0
Indígena - Masculino,546.3967895507812,539.3800048828125,7435.0
Parda - Feminino,547.538330078125,539.6799926757812,605392.0
Parda - Masculino,547.6564331054688,539.9600219726562,402107.0
Preta - Feminino,547.3203125,539.5799560546875,175815.0
Preta - Masculino,548.079833984375,540.2200317382812,130707.0
