,Raça,Sexo,Região
média,0.60650634765625,0.16925048828125,0.45928955078125
mediana,0.9200439453125,0.20001220703125,0.73992919921875
desvio,0.40402984619140625,0.194183349609375,0.2411956787109375
Q1,0.535003662109375,0.0400390625,0.43994140625
Q3,0.6400146484375,0.29998779296875,0.70001220703125
P10,0.4739990234375,0.1600341796875,0.339996337890625
P90,2.33197021484375,0.51995849609375,0.9000244140625
IQR,1.130035400390625,0.25994873046875,0.859893798828125
CV,0.0006713420152664185,0.00030715763568878174,0.0003962218761444092
contagem,990585.0,437193.0,621246.0
